,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Amount_Total,Total_Purchases,Children,Family_Size,Total_AcceptedCmp,Days_Active
561,Graduation,Single,81741.0,75,249,153,940.0,58,134,38,0,6.0,6.0,7,2,0,0,0,0,0,0,0,34.0,1514,19.0,0,1,0,464
562,Master,In Relationship,71499.0,12,465,25,132.0,136,0,37,2,8.0,3.0,13,4,0,0,0,0,0,0,0,43.0,659,26.0,1,3,0,518
563,2n Cycle,In Relationship,62466.0,13,129,129,259.0,168,121,83,5,6.0,3.0,12,4,0,0,0,0,0,0,0,44.0,721,26.0,1,3,0,313
564,PhD,Single,48799.0,9,174,18,81.0,28,6,24,3,3.0,2.0,7,3,0,0,0,0,0,0,0,51.0,303,15.0,1,2,0,566
565,PhD,In Relationship,52157.0,48,189,2,29.0,3,2,40,2,3.0,2.0,5,4,0,0,0,0,0,0,0,64.0,262,12.0,1,3,0,106
566,Graduation,Single,66565.0,80,747,10,161.0,65,40,42,4,4.0,2.0,9,8,0,0,0,0,0,0,0,52.0,1000,19.0,1,2,0,859
567,Master,In Relationship,29298.0,60,6,0,2.0,2,0,1,1,1.0,0.0,2,5,0,0,0,0,0,0,0,63.0,9,4.0,2,4,0,456
568,Graduation,Single,47691.0,43,14,0,3.0,0,0,4,1,1.0,0.0,2,6,0,0,0,0,0,0,0,35.0,21,4.0,1,2,0,536
569,Graduation,In Relationship,38200.0,19,12,0,4.0,0,0,1,1,1.0,0.0,2,7,0,0,0,0,0,0,0,44.0,17,4.0,2,4,0,859
570,Graduation,In Relationship,44989.0,26,98,0,106.0,49,10,106,5,5.0,1.0,5,6,0,0,0,0,0,0,0,40.0,320,16.0,1,3,0,702
571,PhD,In Relationship,38443.0,58,32,0,5.0,0,0,1,2,1.0,0.0,3,7,0,0,0,0,0,0,0,46.0,38,6.0,2,4,0,256
572,2n Cycle,Single,38593.0,42,51,12,49.0,17,24,24,3,4.0,1.0,3,8,0,0,0,0,0,0,0,36.0,160,11.0,1,2,0,408
573,PhD,In Relationship,64413.0,27,200,5,44.0,0,10,20,1,5.0,1.0,5,5,0,0,0,0,0,0,0,44.0,279,12.0,1,3,0,671
574,Master,In Relationship,36959.0,56,25,6,25.0,6,0,0,2,2.0,0.0,3,8,0,0,0,0,0,0,0,33.0,56,7.0,1,3,0,609
575,PhD,In Relationship,61996.0,27,1050,12,144.0,0,0,24,3,6.0,4.0,8,5,0,1,0,1,1,0,1,37.0,1230,21.0,1,3,4,648
576,Graduation,In Relationship,51287.0,10,117,0,22.0,13,0,30,3,4.0,1.0,3,7,0,0,0,0,0,0,0,46.0,169,11.0,2,4,0,327
577,Graduation,In Relationship,13260.0,48,9,4,17.0,10,2,7,4,3.0,0.0,3,8,0,0,0,0,0,0,0,44.0,39,10.0,2,4,0,423
578,PhD,In Relationship,47472.0,39,56,0,11.0,0,0,8,2,2.0,0.0,4,5,0,0,0,0,0,0,0,48.0,75,8.0,2,4,0,408
579,Master,In Relationship,54603.0,85,145,13,46.0,17,2,4,6,4.0,2.0,4,7,0,0,0,0,0,0,0,58.0,210,16.0,2,4,0,371
580,PhD,In Relationship,45207.0,64,203,0,10.0,0,0,2,5,3.0,1.0,6,6,0,1,0,0,0,0,0,40.0,215,15.0,2,4,1,723
581,Graduation,In Relationship,40689.0,69,270,3,27.0,39,6,99,7,7.0,1.0,5,8,0,0,0,0,0,0,0,63.0,405,20.0,1,3,0,560
582,2n Cycle,In Relationship,47821.0,54,9,0,16.0,6,6,10,1,1.0,0.0,3,8,0,0,0,0,0,0,0,47.0,41,5.0,2,4,0,359
583,Master,In Relationship,27450.0,57,37,12,23.0,8,11,52,1,2.0,1.0,3,7,0,0,0,0,0,0,0,63.0,135,7.0,0,2,0,544
584,Graduation,In Relationship,39453.0,64,46,0,7.0,0,0,2,2,2.0,0.0,3,6,0,0,0,0,0,0,0,31.0,55,7.0,1,3,0,214
585,2n Cycle,In Relationship,26850.0,10,31,1,13.0,7,2,9,4,2.0,1.0,4,4,0,0,0,0,0,0,0,43.0,56,11.0,2,4,0,223
586,Graduation,Single,79800.0,65,1060,21,530.0,32,0,224,1,5.0,11.0,5,3,1,0,1,1,0,0,1,59.0,1835,22.0,0,1,4,740
587,Master,In Relationship,61794.0,74,264,47,188.0,54,47,11,2,4.0,4.0,10,2,0,0,0,0,0,0,0,53.0,557,20.0,1,3,0,375
588,Graduation,In Relationship,53863.0,4,399,4,30.0,6,4,30,3,7.0,1.0,7,7,0,1,0,0,0,0,0,59.0,467,18.0,1,3,1,200
589,Graduation,In Relationship,24221.0,94,8,9,9.0,2,5,22,1,1.0,1.0,3,4,0,0,0,0,0,0,0,55.0,53,6.0,0,2,0,380
590,PhD,Single,39684.0,41,19,0,35.0,6,4,17,2,2.0,1.0,2,7,0,0,0,0,0,1,1,30.0,75,7.0,1,2,1,686
591,Master,In Relationship,92163.0,25,817,183,797.0,106,163,20,0,5.0,11.0,5,2,0,0,1,1,0,0,1,39.0,1980,21.0,0,2,3,700
592,Master,Single,69882.0,94,292,127,635.0,132,127,165,1,3.0,7.0,9,1,0,0,0,0,0,0,0,49.0,1346,20.0,0,1,0,328
593,Graduation,In Relationship,33178.0,9,12,6,2.0,11,2,16,1,1.0,0.0,3,4,0,0,0,0,0,0,0,37.0,38,5.0,1,3,0,302
594,PhD,In Relationship,59973.0,47,130,30,168.0,20,34,0,1,3.0,4.0,7,1,0,0,0,0,0,0,0,42.0,362,15.0,0,2,0,346
595,Master,In Relationship,17459.0,12,6,4,16.0,3,10,30,3,3.0,1.0,2,7,0,0,0,0,0,0,1,39.0,66,9.0,1,3,1,432
596,Graduation,Single,23910.0,80,16,12,18.0,7,1,13,1,2.0,0.0,3,7,0,0,0,0,0,0,0,45.0,60,6.0,1,2,0,692
597,Master,In Relationship,42169.0,20,19,0,9.0,0,0,2,2,1.0,0.0,3,8,0,0,0,0,0,0,0,45.0,30,6.0,2,4,0,394
598,2n Cycle,In Relationship,26224.0,39,4,7,15.0,13,9,15,3,2.0,1.0,3,6,0,0,0,0,0,0,0,36.0,50,9.0,1,3,0,571
599,Graduation,In Relationship,31089.0,57,31,3,31.0,2,8,4,3,3.0,0.0,4,8,0,0,0,0,0,0,0,33.0,77,10.0,1,3,0,785
600,Graduation,Single,30081.0,27,36,0,2.0,0,0,4,1,1.0,0.0,3,7,0,0,0,0,0,0,0,53.0,42,5.0,1,2,0,627
601,Graduation,In Relationship,62807.0,83,526,28,135.0,10,21,99,3,5.0,3.0,12,5,0,0,0,0,0,0,0,54.0,809,23.0,1,3,0,745
602,Graduation,Single,72906.0,79,400,32,519.0,71,75,54,1,3.0,4.0,9,1,0,0,0,0,0,0,0,59.0,1080,17.0,0,1,0,367
603,PhD,In Relationship,61467.0,69,410,16,114.0,0,5,49,3,5.0,2.0,10,5,0,0,0,0,0,0,0,66.0,594,20.0,2,4,0,747
604,Master,In Relationship,49618.0,77,80,3,26.0,4,2,14,4,3.0,1.0,3,7,0,0,0,0,0,0,0,48.0,125,11.0,2,4,0,603
605,Master,Single,21888.0,15,88,10,46.0,2,3,64,4,5.0,1.0,2,10,0,0,0,0,0,0,1,28.0,211,12.0,1,2,1,693
606,Graduation,Single,42429.0,99,55,0,6.0,2,0,4,2,1.0,1.0,3,5,0,0,0,0,0,0,0,41.0,65,7.0,1,2,0,-64
607,Graduation,Single,26150.0,61,5,1,13.0,3,5,1,1,1.0,0.0,3,7,0,0,0,0,0,0,0,58.0,25,5.0,3,4,0,338
608,Basic,In Relationship,30801.0,23,8,4,5.0,15,2,11,2,1.0,0.0,3,7,0,0,0,0,0,0,0,39.0,30,6.0,1,3,0,749
609,Graduation,In Relationship,81168.0,84,410,0,592.0,147,22,22,1,6.0,4.0,7,3,0,0,0,1,0,0,0,49.0,1046,18.0,0,2,1,71
610,Master,Single,26877.0,74,101,13,76.0,20,18,40,2,3.0,1.0,6,6,0,0,0,0,0,0,0,45.0,248,12.0,0,1,0,401
611,Master,Single,45006.0,90,162,25,53.0,16,0,10,1,3.0,1.0,7,3,0,0,0,0,0,0,0,70.0,250,12.0,0,1,0,417
612,Basic,In Relationship,18978.0,41,2,8,1.0,4,7,15,1,1.0,0.0,3,8,0,0,0,0,0,0,0,41.0,33,5.0,1,3,0,714
613,Graduation,In Relationship,22574.0,28,25,0,8.0,2,0,2,2,2.0,0.0,3,7,0,0,0,0,0,0,0,47.0,35,7.0,3,5,0,377
614,PhD,Single,48240.0,73,389,91,248.0,64,49,41,3,6.0,3.0,13,5,0,0,0,0,0,0,1,45.0,818,25.0,0,1,1,744
615,Graduation,In Relationship,45837.0,88,215,13,87.0,17,17,24,5,6.0,2.0,5,7,0,0,0,0,0,0,0,40.0,356,18.0,2,4,0,411
616,Master,Single,35791.0,94,27,0,5.0,0,0,3,2,1.0,0.0,3,8,0,0,0,0,0,0,0,49.0,35,6.0,3,4,0,456
618,Graduation,Single,54162.0,31,5,6,10.0,6,5,10,1,1.0,0.0,3,4,0,0,0,0,0,0,0,36.0,36,5.0,2,3,0,598
619,Master,In Relationship,30522.0,6,179,8,83.0,19,11,26,5,1.0,2.0,9,2,0,0,0,0,0,0,0,54.0,307,17.0,1,3,0,836
620,PhD,In Relationship,54456.0,23,352,0,27.0,10,0,15,3,6.0,1.0,7,6,0,0,0,0,0,0,0,53.0,394,17.0,1,3,0,372
621,Graduation,Single,31632.0,92,17,8,12.0,11,15,32,1,2.0,1.0,2,7,0,0,0,0,0,0,0,43.0,84,6.0,0,1,0,419
622,Graduation,Single,72298.0,52,625,35,169.0,58,17,35,1,4.0,3.0,6,1,0,1,1,0,0,0,0,65.0,881,14.0,0,1,2,13
623,2n Cycle,Single,36975.0,50,10,6,11.0,0,4,2,1,1.0,0.0,3,7,0,0,0,0,0,0,0,36.0,33,5.0,1,2,0,294
624,2n Cycle,In Relationship,72635.0,54,390,22,323.0,104,35,107,1,6.0,8.0,6,3,0,0,0,1,0,0,0,59.0,877,21.0,0,2,1,587
625,Graduation,In Relationship,13624.0,93,10,2,15.0,2,1,6,2,2.0,0.0,3,6,0,0,0,0,0,0,0,38.0,34,7.0,1,3,0,593
626,Graduation,Single,84196.0,56,215,63,507.0,231,31,190,1,8.0,4.0,7,3,0,0,0,0,0,0,0,39.0,1006,20.0,1,2,0,585
627,Graduation,In Relationship,70971.0,28,1001,17,572.0,93,125,17,7,11.0,11.0,5,7,0,0,0,0,0,0,1,54.0,1732,34.0,1,3,1,779
628,PhD,Single,34487.0,94,19,18,33.0,24,1,8,3,3.0,0.0,3,9,0,0,0,0,0,0,0,37.0,79,9.0,2,3,0,817
629,Graduation,Single,28769.0,76,41,5,129.0,10,3,3,3,4.0,1.0,4,9,0,0,0,0,0,0,0,37.0,181,12.0,1,2,0,643
630,PhD,In Relationship,69084.0,43,1181,107,199.0,39,30,30,2,7.0,3.0,13,8,0,0,0,0,0,0,0,44.0,1547,25.0,1,3,0,340
631,PhD,In Relationship,65488.0,46,603,45,207.0,36,18,54,1,3.0,4.0,6,1,0,0,0,0,0,0,0,56.0,927,14.0,0,2,0,131
632,2n Cycle,In Relationship,62466.0,13,129,129,259.0,168,121,83,5,6.0,3.0,12,4,0,0,0,0,0,0,0,44.0,721,26.0,1,3,0,313
633,2n Cycle,Single,32218.0,27,10,24,15.0,13,1,30,1,2.0,1.0,3,7,1,0,0,0,0,0,1,54.0,80,7.0,0,1,2,268
634,Graduation,Single,83917.0,12,514,22,732.0,42,198,79,1,6.0,7.0,7,3,0,0,0,0,0,0,1,41.0,1545,21.0,0,1,1,586
635,Graduation,Single,46102.0,3,14,0,1.0,0,0,1,1,1.0,0.0,2,7,0,0,0,0,0,0,0,52.0,16,4.0,3,4,0,62
636,Graduation,Single,84574.0,72,387,20,713.0,38,54,163,1,9.0,11.0,11,5,0,0,0,0,0,0,0,62.0,1337,32.0,0,1,0,538
637,Graduation,In Relationship,56181.0,6,121,103,69.0,8,44,48,1,4.0,2.0,7,4,0,0,0,0,0,0,0,52.0,385,14.0,1,3,0,487
638,Master,Single,63120.0,53,965,69,279.0,54,41,69,5,8.0,4.0,9,7,0,0,0,0,0,0,1,64.0,1423,26.0,1,2,1,747
639,Graduation,In Relationship,73691.0,58,707,21,250.0,85,43,73,2,6.0,2.0,8,2,1,0,0,0,0,0,0,43.0,1094,18.0,1,3,1,486
640,Graduation,In Relationship,63381.0,78,571,50,142.0,33,50,159,4,4.0,5.0,13,2,0,0,0,0,0,0,0,54.0,972,26.0,1,3,0,863
641,PhD,In Relationship,76140.0,57,586,66,653.0,17,0,26,1,5.0,9.0,6,2,0,0,0,0,0,0,0,66.0,1331,21.0,0,2,0,151
642,PhD,Single,62859.0,37,1063,89,102.0,16,12,25,4,9.0,4.0,6,6,0,0,0,0,0,0,0,55.0,1291,23.0,1,2,0,670
643,Graduation,Single,45906.0,20,305,3,27.0,4,3,144,2,5.0,4.0,4,5,1,0,0,0,0,0,0,50.0,482,15.0,1,2,1,500
644,Master,In Relationship,77632.0,73,1200,105,758.0,0,42,147,1,4.0,2.0,6,2,0,1,1,0,0,0,1,67.0,2252,13.0,0,2,3,357
645,PhD,In Relationship,46463.0,56,163,2,40.0,8,11,11,7,3.0,1.0,6,6,0,0,0,0,0,0,0,43.0,227,17.0,2,4,0,420
646,Graduation,In Relationship,105471.0,36,1009,181,104.0,202,21,207,0,9.0,8.0,13,3,0,0,1,1,0,0,1,44.0,1522,30.0,0,2,3,649
647,Master,Single,55282.0,9,125,6,73.0,8,4,19,1,3.0,1.0,6,4,0,0,0,0,0,0,0,44.0,227,11.0,1,2,0,350
648,Master,In Relationship,78710.0,42,721,0,152.0,119,50,50,3,7.0,6.0,12,4,0,0,0,0,0,0,0,37.0,973,28.0,1,3,0,156
649,Graduation,In Relationship,66886.0,28,315,4,62.0,41,31,146,2,7.0,1.0,7,5,0,0,0,0,0,0,0,56.0,558,17.0,1,3,0,419
650,Master,Single,98777.0,23,1000,19,711.0,125,115,38,0,4.0,6.0,9,1,0,1,0,0,0,0,0,54.0,1883,19.0,0,1,1,270
651,Graduation,In Relationship,29103.0,38,16,0,17.0,6,3,6,2,1.0,0.0,3,9,0,0,0,0,0,0,0,29.0,42,6.0,1,3,0,794
652,Graduation,In Relationship,67445.0,63,757,80,217.0,29,80,11,5,9.0,6.0,12,6,0,0,0,0,0,0,0,40.0,1145,32.0,1,3,0,666
653,PhD,In Relationship,50616.0,71,30,2,25.0,0,1,9,1,1.0,1.0,4,2,0,0,0,0,0,0,0,64.0,67,7.0,1,3,0,167
654,Graduation,Single,49431.0,9,219,3,100.0,26,0,17,2,7.0,1.0,5,8,0,0,0,0,0,0,0,59.0,339,15.0,1,2,0,995
656,Graduation,In Relationship,61278.0,87,111,3,28.0,2,6,15,2,3.0,1.0,4,6,0,0,0,0,0,0,0,61.0,163,10.0,1,3,0,163
657,2n Cycle,In Relationship,26490.0,92,45,47,52.0,21,20,25,2,3.0,1.0,5,6,0,0,0,0,0,0,0,56.0,189,11.0,0,2,0,714
658,PhD,In Relationship,73059.0,36,410,112,420.0,0,82,71,1,9.0,3.0,13,4,0,0,0,0,0,0,0,67.0,1095,26.0,1,3,0,427
659,PhD,Single,46734.0,86,100,1,39.0,6,1,76,4,3.0,2.0,3,6,1,0,0,0,0,0,0,48.0,217,12.0,3,4,1,326
660,Graduation,In Relationship,56253.0,83,509,0,65.0,7,11,5,4,7.0,2.0,9,6,0,0,0,0,0,0,0,51.0,590,22.0,1,3,0,795
661,Graduation,In Relationship,19986.0,74,3,6,5.0,0,2,6,1,0.0,0.0,3,7,0,0,0,0,0,0,0,29.0,22,4.0,1,3,0,314
662,Graduation,Single,58330.0,87,445,53,213.0,104,98,151,1,6.0,4.0,13,4,0,0,0,0,0,0,0,39.0,960,24.0,1,2,0,260
663,Basic,In Relationship,25965.0,29,2,2,11.0,41,7,11,1,2.0,0.0,3,8,0,0,0,0,0,0,0,34.0,33,6.0,0,2,0,852
664,Master,In Relationship,14661.0,88,4,1,11.0,6,2,2,1,1.0,0.0,3,6,0,0,0,0,0,0,0,58.0,20,5.0,0,2,0,617
665,Graduation,In Relationship,18690.0,77,6,1,7.0,23,4,19,1,1.0,1.0,2,8,0,0,0,0,0,0,0,55.0,37,5.0,0,2,0,632
666,PhD,In Relationship,45068.0,25,14,0,3.0,0,0,3,1,1.0,0.0,2,7,0,0,0,0,0,0,0,40.0,20,4.0,1,3,0,545
667,Basic,Single,21063.0,34,1,10,11.0,19,3,15,2,2.0,0.0,3,6,0,0,0,0,0,0,0,27.0,40,7.0,1,2,0,404
668,PhD,In Relationship,29187.0,43,26,0,6.0,0,0,2,1,1.0,0.0,3,8,0,0,0,0,0,0,0,46.0,34,5.0,1,3,0,415
669,2n Cycle,In Relationship,54690.0,76,111,16,37.0,7,9,18,3,3.0,1.0,5,3,0,0,0,0,0,0,0,43.0,191,12.0,2,4,0,438
670,PhD,In Relationship,59304.0,81,418,61,428.0,80,51,10,3,7.0,8.0,10,5,0,0,0,0,0,0,0,50.0,968,28.0,1,3,0,415
671,Master,Single,59247.0,87,327,9,122.0,19,14,83,5,5.0,2.0,9,6,0,0,0,0,0,0,0,52.0,555,21.0,2,3,0,396
672,Graduation,Single,66731.0,33,371,159,194.0,58,106,141,4,4.0,3.0,6,3,0,0,0,0,0,0,0,44.0,971,17.0,1,2,0,695
673,Graduation,In Relationship,77353.0,38,275,59,107.0,69,101,59,2,6.0,4.0,8,4,0,0,0,0,0,0,0,34.0,601,20.0,1,3,0,318
674,PhD,Single,52614.0,63,789,0,142.0,12,9,38,2,2.0,4.0,8,8,0,0,0,0,0,0,0,39.0,978,16.0,1,2,0,997
675,Graduation,In Relationship,26751.0,26,1,1,5.0,0,3,1,1,1.0,0.0,2,8,0,0,0,0,0,0,0,40.0,11,4.0,2,4,0,173
676,PhD,In Relationship,81300.0,17,1004,12,145.0,32,12,36,3,10.0,3.0,5,5,0,0,0,1,0,0,1,51.0,1209,21.0,1,3,2,751
677,Graduation,Single,70337.0,75,187,81,149.0,25,43,91,1,2.0,2.0,12,1,0,0,0,0,0,0,0,35.0,551,17.0,0,1,0,234
678,2n Cycle,In Relationship,36145.0,13,56,4,76.0,17,1,18,4,4.0,1.0,3,9,1,0,0,0,0,0,1,29.0,155,12.0,1,3,2,526
679,PhD,Single,65295.0,19,365,32,117.0,34,110,6,1,3.0,3.0,13,2,0,0,0,0,0,0,0,34.0,630,20.0,0,1,0,330
680,Graduation,Single,68118.0,51,595,23,123.0,10,23,154,2,8.0,9.0,4,6,0,0,0,0,0,0,0,51.0,918,23.0,1,2,0,364
681,Graduation,Single,68743.0,81,1132,134,384.0,175,134,115,1,11.0,5.0,13,7,0,0,0,0,0,0,0,47.0,1899,30.0,0,1,0,748
682,2n Cycle,In Relationship,41039.0,32,34,11,137.0,179,61,45,1,8.0,1.0,5,8,0,0,0,0,0,0,0,32.0,288,15.0,0,2,0,468
683,Graduation,In Relationship,38946.0,84,116,6,82.0,6,6,41,2,3.0,1.0,6,5,0,0,0,0,0,0,0,59.0,251,12.0,1,3,0,325
684,Graduation,In Relationship,65777.0,87,565,32,435.0,28,32,54,1,2.0,8.0,6,1,0,0,0,0,0,0,0,47.0,1118,17.0,0,2,0,266
685,PhD,Single,66476.0,99,372,18,126.0,47,48,78,2,5.0,2.0,11,4,0,0,0,0,0,0,0,38.0,642,20.0,1,2,0,423
686,PhD,Single,86857.0,96,899,102,838.0,133,102,40,1,5.0,6.0,10,2,0,0,0,0,0,0,1,42.0,1981,22.0,0,1,1,632
688,PhD,In Relationship,77845.0,40,760,40,480.0,0,40,26,1,3.0,5.0,12,1,0,0,1,1,0,0,0,25.0,1346,21.0,0,2,2,165
689,PhD,In Relationship,69476.0,3,260,86,559.0,63,9,67,1,4.0,6.0,4,2,0,0,0,0,0,0,0,45.0,981,15.0,0,2,0,430
690,PhD,Single,50611.0,98,459,0,24.0,6,0,4,6,4.0,5.0,7,6,0,1,0,0,0,0,1,54.0,487,22.0,1,2,2,873
691,Graduation,Single,61209.0,73,466,0,224.0,119,49,99,1,5.0,3.0,4,2,0,0,0,0,0,0,0,44.0,838,13.0,0,1,0,396
692,Master,In Relationship,42315.0,90,67,15,80.0,17,11,80,3,1.0,4.0,4,3,0,0,0,0,0,0,0,56.0,253,12.0,1,3,0,275
693,Basic,In Relationship,13084.0,29,2,0,7.0,3,7,10,1,1.0,0.0,3,6,0,0,0,0,0,0,0,62.0,26,5.0,0,2,0,635
694,Master,Single,47570.0,3,67,1,20.0,0,2,31,3,2.0,2.0,2,7,0,0,0,0,0,0,1,65.0,121,9.0,2,3,1,554
695,Master,In Relationship,61923.0,94,92,4,18.0,3,3,6,1,2.0,1.0,4,3,0,0,0,0,0,0,0,53.0,123,8.0,2,4,0,405
696,Graduation,Single,34824.0,65,4,2,11.0,2,0,4,1,1.0,0.0,2,6,0,0,0,0,0,0,0,19.0,21,4.0,0,1,0,191
697,PhD,Single,26518.0,33,20,1,28.0,3,3,2,3,2.0,0.0,3,8,0,0,0,0,0,0,1,65.0,54,8.0,2,3,1,457
698,Graduation,Single,45938.0,46,273,11,178.0,62,83,29,2,8.0,4.0,6,6,0,0,0,0,0,0,0,53.0,574,20.0,0,1,0,590
699,Graduation,In Relationship,78468.0,29,434,22,388.0,104,22,34,1,10.0,7.0,10,4,0,0,0,1,0,0,0,54.0,900,28.0,0,2,1,65
700,Graduation,Single,78901.0,99,321,11,309.0,33,26,34,3,9.0,3.0,5,4,0,0,0,0,0,0,0,41.0,701,20.0,1,2,0,347
701,Graduation,In Relationship,71427.0,26,212,123,177.0,15,64,23,2,8.0,2.0,8,4,0,0,0,0,0,0,0,36.0,599,20.0,2,4,0,-22
702,Graduation,Single,71022.0,30,909,12,278.0,0,12,242,3,5.0,2.0,11,8,1,0,0,0,0,0,0,36.0,1453,21.0,1,2,1,5
703,Master,Single,90247.0,27,1184,32,352.0,21,16,16,1,3.0,4.0,7,1,0,1,1,1,0,0,1,26.0,1600,15.0,0,1,4,195
704,Master,Single,41335.0,24,112,19,21.0,16,14,5,3,4.0,1.0,4,7,0,0,0,0,0,0,0,46.0,171,12.0,1,2,0,322
705,Graduation,In Relationship,71952.0,93,656,80,455.0,52,107,93,2,8.0,4.0,8,4,1,0,1,0,0,0,0,28.0,1391,22.0,1,3,2,339
706,PhD,Single,35682.0,34,23,0,8.0,6,2,18,1,1.0,1.0,3,2,0,0,0,0,0,0,0,44.0,51,6.0,1,2,0,129
707,Graduation,Single,43185.0,88,537,6,42.0,16,6,30,2,9.0,3.0,6,8,0,0,0,0,0,0,0,63.0,621,20.0,1,2,0,341
708,PhD,In Relationship,66375.0,96,712,0,45.0,0,0,191,3,2.0,4.0,5,7,1,0,0,0,0,0,0,66.0,948,14.0,1,3,1,285
709,Master,In Relationship,35178.0,10,23,1,13.0,2,2,18,1,1.0,1.0,2,7,1,0,0,0,0,0,1,43.0,57,5.0,1,3,2,422
710,Graduation,In Relationship,25252.0,26,1,3,4.0,2,2,6,1,1.0,0.0,2,8,0,0,0,0,0,0,0,28.0,16,4.0,1,3,0,339
711,Master,Single,55250.0,49,664,58,83.0,32,0,66,4,7.0,5.0,10,5,0,0,0,0,0,0,0,49.0,871,26.0,1,2,0,728
712,Graduation,Single,33249.0,11,6,10,21.0,19,14,42,2,2.0,1.0,3,6,0,0,0,0,0,0,0,39.0,93,8.0,1,2,0,644
713,Graduation,In Relationship,58398.0,44,299,5,201.0,21,21,49,3,5.0,4.0,8,4,0,0,0,0,0,0,0,61.0,575,20.0,0,2,0,528
714,Graduation,In Relationship,50272.0,75,99,13,66.0,43,8,4,3,4.0,1.0,5,7,0,0,0,0,0,0,0,32.0,190,13.0,1,3,0,442
715,PhD,In Relationship,76618.0,64,749,40,294.0,121,160,147,1,3.0,2.0,5,1,0,0,0,0,0,0,0,39.0,1390,11.0,0,2,0,814
716,2n Cycle,Single,87305.0,19,345,25,501.0,63,138,80,1,5.0,3.0,8,2,0,0,1,0,0,0,1,54.0,1089,17.0,0,1,2,786
717,Graduation,In Relationship,25851.0,45,9,4,18.0,7,5,5,2,2.0,0.0,3,7,0,0,0,0,0,0,0,36.0,41,7.0,1,3,0,355
718,Graduation,Single,58710.0,77,440,81,368.0,0,122,174,6,11.0,5.0,9,6,0,0,0,0,0,0,0,44.0,1185,31.0,1,2,0,539
719,Graduation,Single,45160.0,9,8,2,5.0,3,0,3,1,1.0,0.0,2,7,0,0,0,0,0,0,0,56.0,18,4.0,2,3,0,244
720,Master,In Relationship,74806.0,1,670,9,249.0,0,28,9,2,5.0,4.0,5,4,0,0,0,0,0,0,0,49.0,965,16.0,1,3,0,717
721,Graduation,In Relationship,59111.0,90,524,0,134.0,28,28,155,1,11.0,1.0,8,7,0,0,0,0,0,0,0,60.0,841,21.0,0,2,0,580
722,PhD,In Relationship,18988.0,43,6,0,6.0,2,1,1,2,1.0,0.0,3,7,0,0,0,0,0,0,0,30.0,14,6.0,1,3,0,155
723,Graduation,In Relationship,72190.0,79,597,166,597.0,172,166,249,1,5.0,6.0,4,3,0,0,0,0,0,0,0,49.0,1775,16.0,0,2,0,583
724,Graduation,In Relationship,7500.0,19,7,0,12.0,13,7,32,5,4.0,1.0,2,9,1,0,0,0,0,0,1,38.0,58,12.0,1,3,2,1045
725,Graduation,In Relationship,44794.0,99,54,0,7.0,0,0,4,1,2.0,0.0,3,6,0,0,0,0,0,0,0,48.0,65,6.0,1,3,0,24
726,Graduation,In Relationship,80395.0,62,445,25,706.0,80,76,48,1,6.0,5.0,12,2,0,0,0,1,0,0,0,59.0,1300,24.0,0,2,1,317
727,Master,Single,75012.0,41,294,142,218.0,164,58,151,1,3.0,8.0,11,1,0,0,0,0,0,0,0,38.0,863,23.0,0,1,0,275
728,Master,In Relationship,56962.0,60,292,3,77.0,10,3,26,7,6.0,3.0,5,7,0,0,0,0,0,0,0,49.0,401,21.0,3,5,0,332
729,Graduation,In Relationship,89891.0,17,412,22,132.0,59,28,183,1,11.0,6.0,8,4,0,0,1,0,0,0,0,23.0,777,26.0,0,2,1,584
730,PhD,Single,35946.0,24,8,0,3.0,0,0,0,1,0.0,0.0,3,5,0,0,0,0,0,0,0,65.0,11,4.0,2,3,0,412
731,PhD,In Relationship,53593.0,60,349,4,78.0,6,0,43,8,7.0,2.0,6,8,0,0,0,0,0,0,0,61.0,474,23.0,2,4,0,822
732,Graduation,In Relationship,66373.0,57,328,9,124.0,12,24,109,7,4.0,2.0,10,3,0,0,0,0,0,0,0,36.0,594,23.0,2,4,0,309
733,PhD,Single,45072.0,74,144,2,99.0,7,2,30,5,6.0,1.0,4,8,0,0,0,0,0,0,0,66.0,277,16.0,3,4,0,343
734,Graduation,Single,89694.0,22,1126,28,211.0,37,28,42,3,4.0,3.0,4,5,0,1,1,1,0,0,0,41.0,1435,14.0,2,3,3,431
735,Graduation,In Relationship,72025.0,46,967,0,617.0,43,50,0,1,4.0,8.0,13,2,0,1,1,1,0,0,1,65.0,1634,26.0,0,2,4,176
736,Graduation,In Relationship,67432.0,69,432,79,341.0,177,136,170,2,8.0,5.0,4,4,0,0,0,0,0,0,0,41.0,1158,19.0,1,3,0,549
737,Master,In Relationship,70545.0,29,138,39,63.0,55,18,21,1,4.0,1.0,7,2,0,0,0,0,0,0,0,62.0,279,13.0,1,3,0,247
738,Basic,In Relationship,17487.0,37,0,0,1.0,7,4,6,1,1.0,0.0,2,7,0,0,0,0,0,0,0,25.0,11,4.0,1,3,0,592
